Number	Commit_id	Date	Files	Insert	Delete	Sum
479	2023-01-20	2	96	14	110
480	2023-01-25	2	2	0	2
481	2023-01-25	2	2	0	2
482	2023-01-25	2	205	58	263
483	2023-01-25	5	21	2	23
484	2023-01-26	3	171	1	172
485	2023-01-26	5	21	2	23
486	2023-01-27	0	0	0	0
487	2023-01-27	1	1	1	2
488	2023-01-27	1	10	4	14
489	2023-01-27	1	2	0	2
490	2023-01-27	1	2	0	2
491	2023-01-27	1	3	0	3
492	2023-01-27	2	58	169	227
493	2023-01-27	2	59	0	59
494	2023-01-27	3	3	0	3
495	2023-01-27	3	32	0	32
496	2023-01-27	3	62	0	62
497	2023-01-27	3	62	0	62
498	2023-01-27	3	74	0	74
499	2023-01-27	4	19	45	64
500	2023-01-27	5	2	75	77
501	2023-01-27	7	1	126	127
502	2023-01-28	3	3	0	3
503	2023-01-29	0	0	0	0
504	2023-01-29	1	1	0	1
505	2023-01-29	3	3	2	5
506	2023-01-29	3	5	0	5
507	2023-01-29	6	203	183	386
508	2023-01-31	1	44	65	109
509	2023-01-31	1	5	11	16
510	2023-01-31	3	3	0	3
511	2023-01-31	3	3	0	3
512	2023-02-02	1	37	41	78
513	2023-02-02	1	5	3	8
514	2023-02-02	3	3	0	3
515	2023-02-02	3	3	0	3
516	2023-02-03	1	29	38	67
517	2023-02-03	3	3	0	3
518	2023-02-05	1	0	7	7
519	2023-02-05	2	1	1	2
520	2023-02-05	2	2	0	2
521	2023-02-05	2	3	1	4
522	2023-02-05	2	4	0	4
523	2023-02-05	2	7	8	15
524	2023-02-05	3	10	1	11
525	2023-02-05	3	22	6	28
526	2023-02-05	3	5	2	7
527	2023-02-05	3	8	0	8
528	2023-02-05	8	34	19	53
529	2023-02-08	7	151	1	152
530	2023-02-10	10	14	13	27
531	2023-02-10	13	215	100	315
532	2023-02-10	2	2	1	3
533	2023-02-10	2	4	0	4
534	2023-02-10	3	3	2	5
535	2023-02-10	5	7	2	9
536	2023-02-13	1	16	5	21
537	2023-02-13	2	67	0	67
538	2023-02-14	3	10	6	16
539	2023-02-14	3	81	7	88
540	2023-02-15	2	36	13	49
541	2023-02-15	6	10	6	16
542	2023-02-17	7	125	0	125
543	2023-02-18	1	1	1	2
544	2023-02-18	14	352	84	436
545	2023-02-25	10	14	5	19
546	2023-02-25	6	8	8	16
547	2023-02-25	9	20	30	50
548	2023-03-01	12	115	146	261
549	2023-03-01	8	12	3	15
550	2023-03-03	4	6	4	10
551	2023-03-03	9	8	2	10
552	2023-03-06	8	46	28	74
553	2023-03-06	9	8	2	10
554	2023-03-07	4	14	18	32
555	2023-03-07	9	8	2	10
556	2023-03-08	3	22	0	22
557	2023-03-08	9	8	2	10
558	2023-03-13	1	93	15	108
559	2023-03-13	9	8	2	10
560	2023-03-15	7	73	26	99
561	2023-03-15	9	8	2	10
562	2023-03-18	5	45	24	69
563	2023-03-18	9	8	2	10
564	2023-03-20	6	42	11	53
565	2023-03-20	9	8	2	10
566	2023-03-24	9	8	2	10
567	2023-03-24	9	815	1	816
568	2023-03-25	0	0	0	0
569	2023-03-25	5	40	4	44
570	2023-03-25	6	41	5	46
571	2023-03-25	9	7	4	11
572	2023-03-25	9	9	3	12
573	2023-03-28	8	11	3	14
574	2023-03-28	9	17	5	22
575	2023-03-29	2	16	17	33
576	2023-03-29	9	8	2	10
577	2023-04-01	10	161367	2	161369
578	2023-04-01	8	8	2	10
579	2023-04-02	14	773	28	801
580	2023-04-02	16	28	10	38
581	2023-04-02	6	8	10	18
582	2023-04-02	9	7	4	11
583	2023-04-03	5	38	2	40
584	2023-04-03	9	8	2	10
585	2023-04-04	2	22	5	27
586	2023-04-04	9	8	2	10
587	2023-04-06	3	26	18	44
588	2023-04-06	9	8	2	10
589	2023-04-07	10	112	3	115
590	2023-04-07	10	426	22	448
591	2023-04-09	9	68	17	85
592	2023-04-09	9	9	3	12
593	2023-04-10	8	8	2	10
594	2023-04-11	22	10	162597	162607
595	2023-04-11	3	242040	0	242040
596	2023-04-11	8	7	4	11
597	2023-04-11	8	8	2	10
598	2023-04-12	12	15	13	28
599	2023-04-12	13	24	13	37
600	2023-04-12	5	6	4	10
601	2023-04-12	6	8	5	13
602	2023-04-13	6	4	3	7
603	2023-04-13	6	5	3	8
604	2023-04-15	11	14	7	21
605	2023-04-15	4	27	1	28
606	2023-04-16	5	423574	2	423576
607	2023-04-16	8	9	3	12
608	2023-04-17	10	24	6	30
609	2023-04-17	18	69	584991	585060
610	2023-04-18	28	586	4	590
611	2023-04-18	9	9	3	12
612	2023-04-19	10	11	5	16
613	2023-04-19	10	142	11	153
614	2023-04-19	12	161374	12	161386
615	2023-04-19	2	3	1	4
616	2023-04-19	2	4	9	13
617	2023-04-19	7	3	28	31
618	2023-04-19	9	8	2	10
619	2023-04-19	9	9	3	12
620	2023-04-21	1	1	1	2
621	2023-04-21	10	18	12	30
622	2023-04-21	3	5	9	14
623	2023-04-21	5	44	0	44
624	2023-04-21	9	11	5	16
625	2023-04-21	9	9	3	12
626	2023-04-23	1	3	6	9
627	2023-04-23	9	9	3	12
628	2023-04-24	9	7	8	15
629	2023-04-24	9	8	2	10
630	2023-04-26	1	1	1	2
631	2023-04-26	1	1	1	2
632	2023-04-26	1	1	1	2
633	2023-04-26	12	17	12	29
634	2023-04-26	7	10	6	16
635	2023-04-26	7	10	7	17
636	2023-04-27	1	2	4	6
637	2023-04-27	5	25	3	28
638	2023-04-27	7	7	4	11
639	2023-04-27	8	7	4	11
